Time (sec),Measured Queueing Delay (ms),Active Slices,Expected
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0.074,1,0.581395349
78,0.086,1,0.581395349
79,0.074,1,0.581395349
80,0.079,1,0.581395349
81,0.088,1,0.581395349
82,0.079,1,0.581395349
83,0.074,1,0.581395349
84,0.078,1,0.581395349
85,0.078,1,0.581395349
86,0.089,1,0.581395349
87,0.075,1,0.581395349
88,0.075,1,0.581395349
89,0.076,1,0.581395349
90,0.076,1,0.581395349
91,0.084,1,0.581395349
92,0.076,1,0.581395349
93,0.074,1,0.581395349
94,0.081,1,0.581395349
95,0.075,1,0.581395349
96,0.09,1,0.581395349
97,0.09,1,0.581395349
98,0.156,2,2.325581395
99,0.163,2,2.325581395
100,0.152,2,2.325581395
101,0.163,2,2.325581395
102,0.159,2,2.325581395
103,0.155,2,2.325581395
104,0.154,2,2.325581395
105,0.16,2,2.325581395
106,0.166,2,2.325581395
107,0.15,2,2.325581395
108,627.899,2,2.325581395
109,1575.035,2,2.325581395
110,1314.766,2,2.325581395
111,1878.133,2,2.325581395
112,1878.133,2,2.325581395
113,1633.711,2,2.325581395
114,1244.498,2,2.325581395
115,822.785,2,2.325581395
116,377.881,2,2.325581395
117,149.397,2,2.325581395
118,21.44,3,5.23255814
119,0.226,3,5.23255814
120,0.228,3,5.23255814
121,0.257,3,5.23255814
122,0.262,3,5.23255814
123,0.233,3,5.23255814
124,0.223,3,5.23255814
125,0.224,3,5.23255814
126,0.227,3,5.23255814
127,0.254,3,5.23255814
128,0.236,3,5.23255814
129,0.218,3,5.23255814
130,0.23,3,5.23255814
131,0.253,3,5.23255814
132,0.223,3,5.23255814
133,0.228,3,5.23255814
134,0.219,3,5.23255814
135,0.229,3,5.23255814
136,0.231,3,5.23255814
137,0.272,4,9.302325581
138,0.323,4,9.302325581
139,0.306,4,9.302325581
140,0.303,4,9.302325581
141,0.31,4,9.302325581
142,0.338,4,9.302325581
143,0.335,4,9.302325581
144,0.311,4,9.302325581
145,0.309,4,9.302325581
146,0.349,4,9.302325581
147,0.314,4,9.302325581
148,0.307,4,9.302325581
149,0.32,4,9.302325581
150,0.323,4,9.302325581
151,0.326,4,9.302325581
152,0.321,4,9.302325581
153,0.3,4,9.302325581
154,0.314,4,9.302325581
155,0.314,4,9.302325581
156,0.374,4,9.302325581
157,0.326,4,9.302325581
158,0.383,5,14.53488372
159,0.381,5,14.53488372
160,0.368,5,14.53488372
161,0.382,5,14.53488372
162,0.392,5,14.53488372
163,0.384,5,14.53488372
164,0.383,5,14.53488372
165,0.38,5,14.53488372
166,0.377,5,14.53488372
167,0.365,5,14.53488372
168,263.474,5,14.53488372
169,2332.896,5,14.53488372
170,2012.446,5,14.53488372
171,1237.605,5,14.53488372
172,3278.063,5,14.53488372
173,1923.614,5,14.53488372
