Date	Slice 1	Slice 2	Slice 3	Slice 4	Slice 5	Slice 6	Time (sec)	Measured Queue Delay (ms)	Active Slices	Expected Queue Delay (ms)		#	Solved (10%)	Solved (50%)	Solved 10% (ms)	Solved 50% (ms)
50%	0	0	0	0	0	0	71	0	0	0		1	0,005232558	0,000581395	5,23255814	0,581395349
50%	0	0	0	0	0	0	72	0	0	0		2	0,020930233	0,002325581	20,93023256	2,325581395
50%	0	0	0	0	0	0	73	0	0	0		3	0,047093023	0,005232558	47,09302326	5,23255814
50%	0	0	0	0	0	0	74	0	0	0		4	0,08372093	0,009302326	83,72093023	9,302325581
50%	0	0	0	0	0	0	75	0	0	0		5	0,130813953	0,014534884	130,8139535	14,53488372
50%	0	0	0	0	0	0	76	0	0	0		6	0,188372093	0,020930233	188,372093	20,93023256
50%	0,074	0	0	0	0	0	77	0,074	1	0,581395349						
50%	0,086	0	0	0	0	0	78	0,086	1	0,581395349						
50%	0,074	0	0	0	0	0	79	0,074	1	0,581395349						
50%	0,079	0	0	0	0	0	80	0,079	1	0,581395349						
50%	0,088	0	0	0	0	0	81	0,088	1	0,581395349						
50%	0,079	0	0	0	0	0	82	0,079	1	0,581395349						
50%	0,074	0	0	0	0	0	83	0,074	1	0,581395349						
50%	0,078	0	0	0	0	0	84	0,078	1	0,581395349						
50%	0,078	0	0	0	0	0	85	0,078	1	0,581395349						
50%	0,089	0	0	0	0	0	86	0,089	1	0,581395349						
50%	0,075	0	0	0	0	0	87	0,075	1	0,581395349						
50%	0,075	0	0	0	0	0	88	0,075	1	0,581395349						
50%	0,076	0	0	0	0	0	89	0,076	1	0,581395349						
50%	0,076	0	0	0	0	0	90	0,076	1	0,581395349						
50%	0,084	0	0	0	0	0	91	0,084	1	0,581395349						
50%	0,076	0	0	0	0	0	92	0,076	1	0,581395349						
50%	0,074	0	0	0	0	0	93	0,074	1	0,581395349						
50%	0,081	0	0	0	0	0	94	0,081	1	0,581395349						
50%	0,075	0	0	0	0	0	95	0,075	1	0,581395349						
50%	0,09	0	0	0	0	0	96	0,09	1	0,581395349						
50%	0,09	0	0	0	0	0	97	0,09	1	0,581395349						
50%	0,076	0,08	0	0	0	0	98	0,156	2	2,325581395						
50%	0,082	0,081	0	0	0	0	99	0,163	2	2,325581395						
50%	0,077	0,075	0	0	0	0	100	0,152	2	2,325581395						
50%	0,078	0,085	0	0	0	0	101	0,163	2	2,325581395						
50%	0,074	0,085	0	0	0	0	102	0,159	2	2,325581395						
50%	0,079	0,076	0	0	0	0	103	0,155	2	2,325581395						
50%	0,075	0,079	0	0	0	0	104	0,154	2	2,325581395						
50%	0,08	0,08	0	0	0	0	105	0,16	2	2,325581395						
50%	0,079	0,087	0	0	0	0	106	0,166	2	2,325581395						
50%	0,074	0,076	0	0	0	0	107	0,15	2	2,325581395						
50%	322,188	305,711	0	0	0	0	108	627,899	2	2,325581395						
50%	790,174	784,861	0	0	0	0	109	1575,035	2	2,325581395						
50%	529,905	784,861	0	0	0	0	110	1314,766	2	2,325581395						
50%	981,196	896,937	0	0	0	0	111	1878,133	2	2,325581395						
50%	981,196	896,937	0	0	0	0	112	1878,133	2	2,325581395						
50%	808,502	825,209	0	0	0	0	113	1633,711	2	2,325581395						
50%	615,779	628,719	0	0	0	0	114	1244,498	2	2,325581395						
50%	405,852	416,933	0	0	0	0	115	822,785	2	2,325581395						
50%	216,872	161,009	0	0	0	0	116	377,881	2	2,325581395						
50%	117,989	31,408	0	0	0	0	117	149,397	2	2,325581395						
50%	0,082	0,074	21,284	0	0	0	118	21,44	3	5,23255814						
50%	0,076	0,074	0,076	0	0	0	119	0,226	3	5,23255814						
50%	0,075	0,076	0,077	0	0	0	120	0,228	3	5,23255814						
50%	0,09	0,09	0,077	0	0	0	121	0,257	3	5,23255814						
50%	0,09	0,09	0,082	0	0	0	122	0,262	3	5,23255814						
50%	0,077	0,077	0,079	0	0	0	123	0,233	3	5,23255814						
50%	0,076	0,071	0,076	0	0	0	124	0,223	3	5,23255814						
50%	0,077	0,071	0,076	0	0	0	125	0,224	3	5,23255814						
