sep=;
"Time";"0x00";"0x01";"0x02";"0x03";"0x08";"0x1A";"0x1C";"0x1E"
"2020-01-05T20:29:23+01:00";0.165;0;0;0;0;0;0;0
"2020-01-05T20:29:24+01:00";0.156;0;0;0;0;0;0;0
"2020-01-05T20:29:25+01:00";0.181;6.756;0;0;0;0;0;0
"2020-01-05T20:29:26+01:00";33.667;218.575;0;0;0;0;0;0
"2020-01-05T20:29:27+01:00";45.623;924.899;0;0;0;0;0;0
"2020-01-05T20:29:28+01:00";50.882;350.676;0;0;0;0;0;0
"2020-01-05T20:29:29+01:00";43.752;350.676;0;0;0;0;0;0
"2020-01-05T20:29:30+01:00";10.657;886.895;0;0;0;0;0;0
"2020-01-05T20:29:31+01:00";34.697;482.683;0;0;0;0;0;0
"2020-01-05T20:29:32+01:00";38.089;517.562;0;0;0;0;0;0
"2020-01-05T20:29:33+01:00";21.873;486.786;0;0;0;0;0;0
"2020-01-05T20:29:34+01:00";5.823;499.226;0;0;0;38.062;0;0
"2020-01-05T20:29:35+01:00";18.082;506.391;0;0;0;38.062;0;0
"2020-01-05T20:29:36+01:00";18.444;503.939;0;0;0;0;0;0
"2020-01-05T20:29:37+01:00";2.848;501.735;0;0;0;0;0;0
"2020-01-05T20:29:38+01:00";28.537;481.675;0;0;0;0;0;0
"2020-01-05T20:29:39+01:00";22.827;494.838;0;0;0;0;0;0
"2020-01-05T20:29:40+01:00";16.893;491.741;0;0;0;2.592;0;0
"2020-01-05T20:29:41+01:00";18.099;483.192;0;0;0;0;0;0
"2020-01-05T20:29:42+01:00";12.131;478.405;0;0;0;0;0;0
"2020-01-05T20:29:43+01:00";25.893;478.405;0;0;0;0;0;0
"2020-01-05T20:29:44+01:00";5.483;501.673;0;0;0;0;0;0
"2020-01-05T20:29:45+01:00";21.929;476.792;51.406;0;0;27.844;0;0
"2020-01-05T20:29:46+01:00";18.79;806.027;286.12;0;0;0;0;0
"2020-01-05T20:29:47+01:00";24.139;55.028;696.229;0;0;0;0;0
"2020-01-05T20:29:48+01:00";7.306;34.508;996.238;0;0;0;0;0
"2020-01-05T20:29:49+01:00";6.529;985.667;983.536;0;0;30.215;0;0
"2020-01-05T20:29:50+01:00";8.677;1.896;1.955;0;0;0;0;0
