sep=;
"Time";"0x00";"0x01";"0x02";"0x03";"0x08";"0x1A";"0x1C";"0x1E"
"2020-01-05T20:29:23+01:00";12;0;0;0;0;0;0;0
"2020-01-05T20:29:24+01:00";9;0;0;0;0;2;0;0
"2020-01-05T20:29:25+01:00";380;898;0;0;0;2;0;0
"2020-01-05T20:29:26+01:00";206;390;0;0;0;0;0;0
"2020-01-05T20:29:27+01:00";183;339;0;0;0;0;0;0
"2020-01-05T20:29:28+01:00";184;313;0;0;0;2;0;0
"2020-01-05T20:29:29+01:00";286;313;0;0;0;2;0;0
"2020-01-05T20:29:30+01:00";379;987;0;0;0;2;0;0
"2020-01-05T20:29:31+01:00";373;955;0;0;0;4;0;0
"2020-01-05T20:29:32+01:00";399;1030;0;0;0;0;0;0
"2020-01-05T20:29:33+01:00";381;953;0;0;0;0;0;0
"2020-01-05T20:29:34+01:00";373;973;0;0;0;2;0;0
"2020-01-05T20:29:35+01:00";405;963;0;0;0;2;0;0
"2020-01-05T20:29:36+01:00";392;991;0;0;0;0;0;0
"2020-01-05T20:29:37+01:00";398;1030;0;0;0;4;0;0
"2020-01-05T20:29:38+01:00";370;966;0;0;0;0;0;0
"2020-01-05T20:29:39+01:00";373;1007;0;0;0;2;0;0
"2020-01-05T20:29:40+01:00";366;995;0;0;0;2;0;0
"2020-01-05T20:29:41+01:00";392;1018;0;0;0;0;0;0
"2020-01-05T20:29:42+01:00";384;1014;0;0;0;0;0;0
"2020-01-05T20:29:43+01:00";368;1014;0;0;0;2;0;0
"2020-01-05T20:29:44+01:00";382;1000;0;0;0;2;0;0
"2020-01-05T20:29:45+01:00";406;1011;453;0;0;2;0;0
"2020-01-05T20:29:46+01:00";384;462;462;0;0;0;0;0
"2020-01-05T20:29:47+01:00";387;496;495;0;0;4;0;0
"2020-01-05T20:29:48+01:00";360;489;535;0;0;0;0;0
"2020-01-05T20:29:49+01:00";391;498;455;0;0;4;0;0
"2020-01-05T20:29:50+01:00";394;505;553;0;0;0;0;0
"2020-01-05T20:29:51+01:00";390;509;461;0;0;0;0;0
"2020-01-05T20:29:52+01:00";402;506;461;0;0;4;0;0
"2020-01-05T20:29:53+01:00";367;506;489;0;0;0;0;0
"2020-01-05T20:29:54+01:00";393;499;500;0;0;4;0;0
"2020-01-05T20:29:55+01:00";380;501;500;0;0;0;0;0
"2020-01-05T20:29:56+01:00";393;520;521;0;0;0;0;0
"2020-01-05T20:29:57+01:00";385;493;493;0;0;0;0;0
"2020-01-05T20:29:58+01:00";373;497;553;0;0;0;0;0
"2020-01-05T20:29:59+01:00";418;509;454;0;0;0;0;0
"2020-01-05T20:30:00+01:00";380;509;516;0;0;4;0;0
"2020-01-05T20:30:01+01:00";392;506;516;0;0;0;0;0
"2020-01-05T20:30:02+01:00";393;506;506;0;0;1;0;0
"2020-01-05T20:30:03+01:00";367;480;541;0;0;0;0;0
"2020-01-05T20:30:04+01:00";399;519;457;0;0;4;0;0
"2020-01-05T20:30:05+01:00";340;351;352;307;0;4;0;0
"2020-01-05T20:30:06+01:00";349;348;399;307;0;0;0;0
"2020-01-05T20:30:07+01:00";348;349;399;298;0;0;0;0
"2020-01-05T20:30:08+01:00";354;354;354;354;0;4;0;0
"2020-01-05T20:30:09+01:00";328;354;329;356;0;0;0;0
"2020-01-05T20:30:10+01:00";349;351;352;354;0;4;0;0
"2020-01-05T20:30:11+01:00";346;343;342;342;0;0;0;0
"2020-01-05T20:30:12+01:00";342;343;342;342;0;2;0;0
"2020-01-05T20:30:13+01:00";348;347;342;313;0;2;0;0
"2020-01-05T20:30:14+01:00";351;352;348;352;0;0;0;0
"2020-01-05T20:30:15+01:00";358;358;357;358;0;0;0;0
"2020-01-05T20:30:16+01:00";355;355;404;358;0;0;0;0
"2020-01-05T20:30:17+01:00";359;355;310;310;0;0;0;0
"2020-01-05T20:30:18+01:00";333;333;333;310;0;4;0;0
"2020-01-05T20:30:19+01:00";351;352;352;381;0;4;0;0
"2020-01-05T20:30:20+01:00";339;339;380;351;0;0;0;0
"2020-01-05T20:30:21+01:00";357;357;317;357;0;0;0;0
"2020-01-05T20:30:22+01:00";354;353;352;357;0;4;0;0
"2020-01-05T20:30:23+01:00";342;342;352;374;0;0;0;0
"2020-01-05T20:30:24+01:00";335;335;304;335;0;0;0;0
"2020-01-05T20:30:25+01:00";272;273;273;335;5;4;0;0
"2020-01-05T20:30:26+01:00";107;106;273;249;245;0;0;0
"2020-01-05T20:30:27+01:00";99;100;99;100;121;0;0;0
"2020-01-05T20:30:28+01:00";80;80;80;80;86;0;0;0
"2020-01-05T20:30:29+01:00";188;187;188;187;205;0;0;0
"2020-01-05T20:30:30+01:00";319;320;321;187;205;2;0;0
"2020-01-05T20:30:31+01:00";266;381;379;427;381;0;0;0
"2020-01-05T20:30:32+01:00";12;416;417;427;369;4;0;0
"2020-01-05T20:30:33+01:00";47;360;417;393;369;4;0;0
"2020-01-05T20:30:34+01:00";273;360;273;393;392;0;0;0
"2020-01-05T20:30:35+01:00";269;270;269;272;272;2;0;0
"2020-01-05T20:30:36+01:00";291;290;290;260;268;0;0;0
"2020-01-05T20:30:37+01:00";278;278;279;260;300;4;0;0
"2020-01-05T20:30:38+01:00";262;263;264;299;239;0;0;0
"2020-01-05T20:30:39+01:00";295;294;325;289;290;2;0;0
"2020-01-05T20:30:40+01:00";282;294;250;289;290;2;0;0
"2020-01-05T20:30:41+01:00";270;269;311;278;278;0;0;0
"2020-01-05T20:30:42+01:00";275;276;234;285;286;0;0;0
