sep=;
"Time";"0x00";"0x01";"0x02";"0x03";"0x08";"0x1A";"0x1C";"0x1E"
"2020-01-03T13:37:12+01:00";0.177;0;0;0;0;0;0;0
"2020-01-03T13:37:13+01:00";0.141;0;0;0;0;0;0;0
"2020-01-03T13:37:14+01:00";0.165;0.067;0;0;0;0;0;0
"2020-01-03T13:37:15+01:00";0.165;0.061;0;0;0;0;0;0
"2020-01-03T13:37:16+01:00";0.166;0.065;0;0;0;0;0;0
"2020-01-03T13:37:17+01:00";0.161;0.065;0;0;0;0;0;0
"2020-01-03T13:37:18+01:00";0.138;0.06;0;0;0;0;0;0
"2020-01-03T13:37:19+01:00";0.163;0.061;0;0;0;0;0;0
"2020-01-03T13:37:20+01:00";0.164;0.064;0;0;0;0;0;0
"2020-01-03T13:37:21+01:00";0.166;0.062;0;0;0;0;0;0
"2020-01-03T13:37:22+01:00";0.183;0.064;0;0;0;0;0;0
"2020-01-03T13:37:23+01:00";0.183;0.067;0;0;0;0;0;0
"2020-01-03T13:37:24+01:00";0.151;0.063;0.064;0;0;0;0;0
"2020-01-03T13:37:25+01:00";0.162;0.064;0.067;0;0;0;0;0
"2020-01-03T13:37:26+01:00";0.165;0.064;0.068;0;0;0;0;0
"2020-01-03T13:37:27+01:00";0.159;0.061;0.062;0;0;0;0;0
"2020-01-03T13:37:28+01:00";0.167;0.061;0.062;0;0;0;0;0
"2020-01-03T13:37:29+01:00";0.167;0.064;0.064;0;0;0;0;0
"2020-01-03T13:37:30+01:00";0.164;0.063;0.06;0;0;0;0;0
"2020-01-03T13:37:31+01:00";0.164;0.064;0.06;0;0;0;0;0
"2020-01-03T13:37:32+01:00";0.167;0.059;0.063;0;0;0;0;0
"2020-01-03T13:37:33+01:00";0.201;0.066;0.063;0;0;0;0;0
"2020-01-03T13:37:34+01:00";0.149;0.061;0.061;0.064;0;0;0;0
"2020-01-03T13:37:35+01:00";0.151;0.064;0.061;0.064;0;0;0;0
"2020-01-03T13:37:36+01:00";0.152;0.066;0.063;0.064;0;0;0;0
"2020-01-03T13:37:37+01:00";0.152;0.063;0.069;0.064;0;0;0;0
"2020-01-03T13:37:38+01:00";0.152;0.063;0.061;0.07;0;0;0;0
"2020-01-03T13:37:39+01:00";0.141;0.071;0.066;0.066;0;0;0;0
"2020-01-03T13:37:40+01:00";0.156;0.065;0.062;0.063;0;0;0;0
"2020-01-03T13:37:41+01:00";0.167;0.063;0.071;0.064;0;0;0;0
"2020-01-03T13:37:42+01:00";0.169;0.064;0.063;0.065;0;0;0;0
"2020-01-03T13:37:43+01:00";0.148;0.069;0.064;0.066;0;0;0;0
"2020-01-03T13:37:44+01:00";0.148;0.064;0.064;0.066;0.06;0.124;0;0
"2020-01-03T13:37:45+01:00";0.201;0.067;0.059;0.062;0.062;0.124;0;0
"2020-01-03T13:37:46+01:00";0.163;0.071;0.058;0.062;0.061;0;0;0
"2020-01-03T13:37:47+01:00";0.143;0.068;0.059;0.063;0.062;0;0;0
"2020-01-03T13:37:48+01:00";0.155;0.065;0.059;0.062;0.062;0;0;0
"2020-01-03T13:37:49+01:00";0.155;0.061;0.063;0.063;0.062;0.119;0;0
"2020-01-03T13:37:50+01:00";0.162;0.061;0.064;0.065;0.068;0;0;0
"2020-01-03T13:37:51+01:00";0.167;0.065;0.066;0.065;0.06;0;0;0
"2020-01-03T13:37:52+01:00";0.189;0.06;0.067;0.066;0.063;0;0;0
"2020-01-03T13:37:53+01:00";0.161;0.065;0.063;0.067;0.063;0;0;0
"2020-01-03T13:37:54+01:00";0.161;0.059;0.061;0.06;0.062;0;0.062;0
"2020-01-03T13:37:55+01:00";0.162;0.063;0.059;0.06;0.072;0;0.064;0
"2020-01-03T13:37:56+01:00";0.161;0.063;0.062;0.064;0.06;0;0.062;0
"2020-01-03T13:37:57+01:00";0.15;0.063;0.079;0.078;0.06;0;0.062;0
"2020-01-03T13:37:58+01:00";0.115;0.061;0.074;0.063;0.064;0;0.061;0
"2020-01-03T13:37:59+01:00";0.152;0.061;0.074;0.094;0.065;0.091;0.061;0
"2020-01-03T13:38:00+01:00";0.152;0.061;0.07;0.094;0.073;0;0.078;0
"2020-01-03T13:38:01+01:00";0.173;0.061;0.066;0.06;0.072;0;0.061;0
"2020-01-03T13:38:02+01:00";0.169;0.06;0.066;0.064;0.072;0;0.07;0
"2020-01-03T13:38:03+01:00";0.171;0.061;0.063;0.068;0.066;0;0.07;0
"2020-01-03T13:38:04+01:00";0.143;0.062;0.064;0.062;0.063;0.116;0.062;0.062
"2020-01-03T13:38:05+01:00";0.154;0.062;0.063;0.061;0.063;0;0.061;0.06
"2020-01-03T13:38:06+01:00";0.164;0.06;0.062;0.059;0.072;0;0.061;0.06
"2020-01-03T13:38:07+01:00";0.15;0.059;0.061;0.072;0.059;0;0.06;0.064
"2020-01-03T13:38:08+01:00";0.11;0.059;0.06;0.062;0.059;0;0.059;0.065
"2020-01-03T13:38:09+01:00";0.163;0.062;0.072;0.083;0.062;0.117;0.059;0.065
"2020-01-03T13:38:10+01:00";0.163;0.058;0.064;0.061;0.063;0;0.071;0.062
"2020-01-03T13:38:11+01:00";0.168;0.058;0.065;0.061;0.061;0;0.071;0.071
"2020-01-03T13:38:12+01:00";0.174;0.063;0.061;0.061;0.061;0;0.062;0.062
"2020-01-03T13:38:13+01:00";0;0.063;0.061;0.061;0.061;0;0.07;0.063
"2020-01-03T13:38:14+01:00";0.161;0;0;0;0;0.135;0;0.063
"2020-01-03T13:38:15+01:00";0.166;0;0;0;0;0;0;0
