Time (sec);Throughput (Mbps);Dequeuing rate (p/s)
1;0;0
2;0,010176;20
3;0,008256;16
4;0,008256;16
5;0,010912;19
6;0,012832;23
7;0,020704;33
8;12,369824;1433
9;11,96208;1399
10;14,527072;1691
11;14,24928;1659
12;13,60928;1588
13;13,1552;1532
14;13,332736;1558
15;14,240064;1656
16;13,031872;1514
17;13,43592;1566
18;12,93696;1504
19;13,085584;1521
20;13,726496;1593
21;13,263952;1537
22;13,12704;1536
23;13,884128;1617
24;13,738144;1603
25;13,311264;1548
26;14,15152;1645
27;12,959328;1512
28;10,90296;1261
29;5,602896;661
30;4,520208;539
31;4,055536;478
32;12,845952;1499
33;14,135728;1644
34;13,548432;1581
35;14,564288;1700
36;13,58592;1576
37;14,270576;1655
38;14,519392;1689
39;13,321376;1552
40;14,025664;1636
41;14,3412;1665
42;13,63168;1586
43;13,801536;1610
44;14,05072;1637
45;14,148384;1653
46;12,98712;1507
47;14,15104;1644
48;13,734896;1594
49;13,519536;1572
50;14,020608;1640
51;14,187024;1651
52;13,476064;1569
53;14,169936;1647
54;13,20864;1539
55;13,62232;1595
56;13,968016;1622
57;13,56072;1575
58;12,937968;1503
59;14,188032;1650
60;13,82968;1618
61;12,998;1512
62;13,919296;1622
63;14,318112;1665
64;13,469696;1570
65;14,738944;1720
66;12,754896;1484
67;13,710688;1597
68;3,063888;379
69;0,008368;14
70;0,014512;24
71;0;0
72;0;0
73;0;0
74;0;0
75;0;0
76;4,656864;537
77;8,090976;933
78;6,946272;801
79;7,3712;850
80;7,223776;833
81;7,388544;852
82;7,423232;856
83;7,41456;855
84;7,561984;872
85;7,882848;909
86;7,726752;891
87;7,882848;909
88;7,882848;909
89;7,353856;848
90;7,353856;848
91;7,54464;870
92;7,006976;808
93;7,8048;900
94;7,02432;810
95;7,492608;864
96;7,778784;897
97;7,778784;897
98;7,943552;916
99;7,319168;844
100;7,67472;885
101;7,3712;850
102;7,71808;890
103;7,648704;882
104;7,310496;843
105;7,431904;857
106;7,32784;845
107;3,824352;441
108;3,494816;403
109;2,315424;267
110;4,127872;476
111;8,359808;964
112;8,359808;964
113;9,27904;1070
114;8,984192;1036
115;9,253024;1067
116;8,394496;968
117;6,876896;793
118;6,989632;806
119;6,859552;791
120;7,492608;864
121;7,579328;874
122;7,362528;849
123;7,293152;841
124;7,865504;907
125;7,692064;887
126;7,310496;843
127;7,709408;889
128;6,868224;792
129;7,388544;852
130;7,267136;838
131;7,28448;840
132;7,640032;881
133;7,483936;863
134;7,1544;825
135;7,778784;897
136;5,870944;677
137;6,694784;772
138;7,440576;858
139;7,362528;849
140;7,483936;863
141;7,180416;828
142;7,709408;889
143;7,874176;908
144;7,960896;918
145;7,206432;831
146;7,310496;843
147;7,622688;879
148;7,570656;873
149;7,353856;848
150;7,535968;869
151;7,466592;861
152;7,579328;874
153;7,353856;848
154;7,908864;912
155;7,813472;901
156;8,2384;950
157;7,648704;882
158;7,778784;897
159;6,946272;801
160;6,80752;785
161;7,986912;921
162;7,345184;847
163;7,301824;842
164;7,588;875
165;7,63136;880
166;7,28448;840
167;5,558752;641
168;4,145216;478
169;3,529504;407
170;6,41728;740
171;8,984192;1036
172;10,068192;1161
173;10,909376;1258
174;8,533248;984
175;7,02432;810
176;7,059008;814
177;7,032992;811
178;7,692064;887
179;7,67472;885
180;7,596672;876
181;7,41456;855
182;7,45792;860
183;7,535968;869
184;7,553312;871
185;8,06496;930
186;8,10832;935
187;7,1544;825
188;6,928928;799
189;7,050336;813
190;7,032992;811
191;7,102368;819
192;7,32784;845
193;7,440576;858
194;7,032992;811
195;7,76144;895
196;4,179904;482
197;0,82384;95
198;0;0
199;0;0
200;0;0
201;0;0
202;0;0
203;7,787456;898
204;3,38208;390
205;2,939808;339
206;2,714336;313
207;2,714336;313
208;8,559264;987
209;8,28176;955
210;8,93216;1030
211;8,264416;953
212;8,437856;973
213;8,351136;963
214;8,593952;991
215;8,93216;1030
216;8,377152;966
217;8,732704;1007
218;8,62864;995
219;8,828096;1018
220;8,793408;1014
221;8,793408;1014
222;8,672;1000
223;12,695808;1464
224;8,012928;924
225;8,593952;991
226;8,880128;1024
227;8,264416;953
228;9,174976;1058
229;8,41184;970
230;8,385824;967
231;8,62864;995
232;8,663328;999
233;8,680672;1001
234;9,027552;1041
235;8,550592;986
236;9,1056;1050
237;8,351136;963
238;8,8888;1025
239;8,862784;1022
240;8,776064;1012
241;8,854112;1021
242;8,463872;976
243;8,75872;1010
244;9,140288;1054
245;9,070912;1046
246;9,209664;1062
247;9,010208;1039
248;9,166304;1057
249;8,906144;1027
250;8,906144;1027
251;8,689344;1002
252;9,122944;1052
253;9,305056;1073
254;9,686624;1117
255;8,4552;975
256;8,463872;976
257;9,40912;1085
258;9,27904;1070
259;8,940832;1031
260;9,209664;1062
261;9,261696;1068
262;8,446528;974
263;7,683392;886
264;7,570656;873
265;3,64224;420
266;2,827072;326
267;6,651424;767
268;8,958176;1033
269;13,597696;1568
270;14,126688;1629
271;13,346208;1539
272;12,296896;1418
273;9,391776;1083
274;9,608576;1108
275;9,686624;1117
276;9,23568;1065
277;10,389056;1198
278;9,738656;1123
279;9,851392;1136
280;9,374432;1081
281;9,036224;1042
282;9,383104;1082
283;8,394496;968
284;10,475776;1208
285;10,31968;1190
286;9,157632;1056
287;10,389056;1198
288;11,83728;1365
289;11,44704;1320
290;10,215616;1178
