Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,22,163.44450862969998,0.13399999985,6.994927087445421
1,22,163.44450862969998,0.13500000001,6.994927087445421
0,22,163.44450862969998,0.13799999998,6.994927087445421
1,22,163.44450862969998,0.12899999999,6.994927087445421
2,22,163.44450862969998,0.12700000001,6.994927087445421
3,22,163.44450862969998,0.12700000001,6.994927087445421
4,22,163.44450862969998,0.12699999998,6.994927087445421
5,22,163.44450862969998,0.12600000002,6.994927087445421
6,22,163.44450862969998,0.12899999999,6.994927087445421
7,22,163.44450862969998,0.12699999998,6.994927087445421
