Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,2,1.0,0.027000000002,17.990000000000002
1,2,1.0,0.019999999786,17.990000000000002
0,2,1.0,0.020999999979,17.990000000000002
1,2,1.0,0.01999999999,17.990000000000002
2,2,1.0,0.01999999999,17.990000000000002
3,2,1.0,0.021000000008,17.990000000000002
4,2,1.0,0.020000000019,17.990000000000002
5,2,1.0,0.01999999999,17.990000000000002
6,2,1.0,0.021000000008,17.990000000000002
7,2,1.0,0.021000000008,17.990000000000002
