Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV), QoS Constraints Removed
0,50,625.0,0.1341,1.1102230246251565e-16,0
1,50,625.0,0.13369999998,1.1102230246251565e-16,0
2,50,625.0,0.13569999998,1.1102230246251565e-16,0
3,50,625.0,0.13679999998,1.1102230246251565e-16,0
4,50,625.0,0.1378,1.1102230246251565e-16,0
5,50,625.0,0.12250000003,1.1102230246251565e-16,0
6,50,625.0,0.13749999998,1.1102230246251565e-16,0
7,50,625.0,0.13769999999,1.1102230246251565e-16,0
8,50,625.0,0.13810000001,1.1102230246251565e-16,0
9,50,625.0,0.13200000001,1.1102230246251565e-16,0
