Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV), QoS Constraints Removed
0,6,9.0000000002,0.082900000009,13.349332068184784,0
1,6,9.0000000002,0.093800000002,13.349332068184784,0
2,6,9.0000000002,0.079300000012,13.349332068184784,0
3,6,9.0000000002,0.093300000008,13.349332068184784,0
4,6,9.0000000002,0.085000000021,13.349332068184784,0
5,6,9.0000000002,0.079300000012,13.349332068184784,0
6,6,9.0000000002,0.088599999988,13.349332068184784,0
7,6,9.0000000002,0.089999999997,13.349332068184784,0
8,6,9.0000000002,0.089999999997,13.349332068184784,0
9,6,9.0000000002,0.088500000013,13.349332068184784,0
0,6,9.0000000002,0.05769999999,13.349332068184784,0
