Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,47,556.9084923503001,35.698,3.603522897774478
1,47,556.9084923503001,35.6517,3.603522897774478
0,47,556.9084923503001,35.6014,3.603522897774478
1,47,556.9084923503001,35.6126,3.603522897774478
2,47,556.9084923503001,35.6004,3.603522897774478
3,47,556.9084923503001,35.6057,3.603522897774478
4,47,556.9084923503001,35.618,3.603522897774478
5,47,556.9084923503001,35.6705,3.603522897774478
6,47,556.9084923503001,35.8919,3.603522897774478
7,47,556.9084923503001,35.6203,3.603522897774478
