Experiment (#), Number of Slices (#), Objective, Solution Time (sec), Lambda (STDEV)
0,2,1.0,0.013299999991,17.990000000000002
1,2,1.0,0.013399999996,17.990000000000002
0,2,1.0,0.013600000006,17.990000000000002
1,2,1.0,0.013399999996,17.990000000000002
2,2,1.0,0.013399999996,17.990000000000002
3,2,1.0,0.013500000001,17.990000000000002
4,2,1.0,0.013500000001,17.990000000000002
5,2,1.0,0.013600000006,17.990000000000002
6,2,1.0,0.013599999991,17.990000000000002
7,2,1.0,0.013699999996,17.990000000000002
